gc fini
État du tas:
Bloc à l'adresse 0x55975a44e3b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e3d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e3e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e400: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e418: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e430: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e448: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e460: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e478: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e490: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e4a8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e4c0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e4d8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e4f0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e508: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e520: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e538: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e550: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e568: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e580: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e598: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e5b0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e5c8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e5e0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e5f8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e610: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e628: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e640: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e658: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e670: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e688: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e6a0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e6b8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e6d0: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e6e8: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e700: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e718: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e730: Taille: 2, Tag: 2, Couleur: Noir
Bloc à l'adresse 0x55975a44e748: Taille: 2, Tag: 2, Couleur: Noir
